run	arm	seed	model	pool	aux	best_epoch	val_f1	lambda	source	vocab	K
fam1_codebert	transfer_cwe	42	microsoft/codebert-base	cls	cwe	12	0.6586	0.2	data/train_ccpp_js.jsonl	fixed4	8
fam1_codebert	transfer_latent_bottleneck	42	microsoft/codebert-base	cls	latent_bottleneck	14	0.6476	0.2	data/train_ccpp_js.jsonl	fixed4	8
fam1_codebert	transfer_latent_proto	42	microsoft/codebert-base	cls	latent_proto	3	0.5346	0.2	data/train_ccpp_js.jsonl	fixed4	8
fam1_codebert	transfer_none	42	microsoft/codebert-base	cls	none	15	0.6575	0.2	data/train_ccpp_js.jsonl	fixed4	8
fam1_codet5	transfer_cwe	42	Salesforce/codet5-base	mean	cwe	14	0.6449	0.2	data/train_ccpp_js.jsonl	fixed4	8
fam1_codet5	transfer_latent_bottleneck	42	Salesforce/codet5-base	mean	latent_bottleneck	14	0.6356	0.2	data/train_ccpp_js.jsonl	fixed4	8
fam1_codet5	transfer_latent_proto	42	Salesforce/codet5-base	mean	latent_proto	7	0.5357	0.2	data/train_ccpp_js.jsonl	fixed4	8
fam1_codet5	transfer_none	42	Salesforce/codet5-base	mean	none	14	0.6828	0.2	data/train_ccpp_js.jsonl	fixed4	8
fam2_codebert	transfer_cwe	42	microsoft/codebert-base	cls	cwe	15	0.6519	0.05	data/train_ccpp_js.jsonl	fixed4	8
fam2_codebert	transfer_latent_bottleneck	42	microsoft/codebert-base	cls	latent_bottleneck	2	0.5109	0.05	data/train_ccpp_js.jsonl	fixed4	8
fam2_codebert	transfer_latent_proto	42	microsoft/codebert-base	cls	latent_proto	15	0.7045	0.05	data/train_ccpp_js.jsonl	fixed4	8
fam2_codet5	transfer_cwe	42	Salesforce/codet5-base	mean	cwe	15	0.672	0.05	data/train_ccpp_js.jsonl	fixed4	8
fam2_codet5	transfer_latent_bottleneck	42	Salesforce/codet5-base	mean	latent_bottleneck	15	0.6502	0.05	data/train_ccpp_js.jsonl	fixed4	8
fam2_codet5	transfer_latent_proto	42	Salesforce/codet5-base	mean	latent_proto	15	0.6495	0.05	data/train_ccpp_js.jsonl	fixed4	8
